"t","s","i","r","place","betap","gammap","M1","M2","M3"
46.6,21411110,193305.3,595672.9,1,2.022192e-08,0.33333,0,1,1
46.6,485428.4,94915.67,1437630,2,3.303601e-07,0.33333,1,0,5
46.6,33476870,9570665,19758432,3,1.06147e-08,0.33333,12,6,0
46.65,21406915,194270.9,598902.6,1,2.022192e-08,0.33333,0,4,5
46.65,484671.2,94097.82,1439205,2,3.303601e-07,0.33333,7,0,7
46.65,33307165,9580774,19918027,3,1.06147e-08,0.33333,8,7,0
46.7,21402700,195240.3,602148.5,1,2.022192e-08,0.33333,0,3,0
46.7,483921.7,93285.66,1440767,2,3.303601e-07,0.33333,3,0,0
46.7,33138151,9590033,20077784,3,1.06147e-08,0.33333,10,1,0
46.75,21398465,196213.8,605410.6,1,2.022192e-08,0.33333,0,1,9
46.75,483179.8,92479.57,1442315,2,3.303601e-07,0.33333,3,0,6
46.75,32969839,9598440,20237687,3,1.06147e-08,0.33333,5,3,0
46.8,21394209,197190.8,608688.9,1,2.022192e-08,0.33333,0,0,7
46.8,482445.5,91679.02,1443849,2,3.303601e-07,0.33333,9,0,9
46.8,32802243,9606000,20397724,3,1.06147e-08,0.33333,2,5,0
46.85,21389934,198172.1,611983.6,1,2.022192e-08,0.33333,0,1,15
46.85,481718.6,90883.91,1445371,2,3.303601e-07,0.33333,10,0,11
46.85,32635376,9612712,20557879,3,1.06147e-08,0.33333,5,1,0
46.9,21385637,199157.1,615294.6,1,2.022192e-08,0.33333,0,5,8
46.9,480999.1,90094.32,1446879,2,3.303601e-07,0.33333,11,0,3
46.9,32469249,9618580,20718139,3,1.06147e-08,0.33333,2,6,0
46.95,21381321,200146.2,618622.1,1,2.022192e-08,0.33333,0,10,5
46.95,480287,89311.31,1448374,2,3.303601e-07,0.33333,9,0,7
46.95,32303874,9623604,20878491,3,1.06147e-08,0.33333,3,9,0
47,21376984,201139.2,621966.1,1,2.022192e-08,0.33333,0,5,4
47,479582,88534.38,1449856,2,3.303601e-07,0.33333,1,0,9
47,32139263,9627787,21038918,3,1.06147e-08,0.33333,2,6,0
47.05,21372626,202136.1,625326.7,1,2.022192e-08,0.33333,0,2,7
47.05,478884.2,87763.08,1451325,2,3.303601e-07,0.33333,6,0,8
47.05,31975427,9631132,21199409,3,1.06147e-08,0.33333,6,5,0
47.1,21368247,203137.5,628704,1,2.022192e-08,0.33333,0,2,12
47.1,478193.6,86997.11,1452781,2,3.303601e-07,0.33333,8,0,1
47.1,31812377,9633643,21359948,3,1.06147e-08,0.33333,6,2,0
47.15,21363848,204142.8,632097.9,1,2.022192e-08,0.33333,0,4,4
47.15,477509.9,86236.95,1454225,2,3.303601e-07,0.33333,3,0,7
47.15,31650123,9635323,21520523,3,1.06147e-08,0.33333,2,0,0
47.2,21359428,205152,635508.7,1,2.022192e-08,0.33333,0,2,12
47.2,476833.1,85482.41,1455656,2,3.303601e-07,0.33333,1,0,12
47.2,31488675,9636176,21681118,3,1.06147e-08,0.33333,5,11,0
47.25,21354987,206165,638936.3,1,2.022192e-08,0.33333,0,7,4
47.25,476163.3,84733.83,1457074,2,3.303601e-07,0.33333,6,0,1
47.25,31328044,9636205,21841721,3,1.06147e-08,0.33333,7,3,0
47.3,21350525,207182.6,642380.8,1,2.022192e-08,0.33333,0,5,4
47.3,475500.2,83991.03,1458480,2,3.303601e-07,0.33333,1,0,8
47.3,31168238,9635414,22002317,3,1.06147e-08,0.33333,5,7,0
47.35,21346042,208204.1,645842.3,1,2.022192e-08,0.33333,0,4,5
47.35,474843.9,83253.83,1459874,2,3.303601e-07,0.33333,2,0,4
47.35,31009268,9633809,22162893,3,1.06147e-08,0.33333,4,13,0
47.4,21341538,209229.6,649320.9,1,2.022192e-08,0.33333,0,5,1
47.4,474194.2,82522.62,1461255,2,3.303601e-07,0.33333,7,0,3
47.4,30851141,9631392,22323436,3,1.06147e-08,0.33333,3,3,0
47.45,21337012,210259.5,652816.6,1,2.022192e-08,0.33333,0,2,7
47.45,473551.1,81796.31,1462625,2,3.303601e-07,0.33333,3,0,1
47.45,30693866,9628171,22483932,3,1.06147e-08,0.33333,5,2,0
47.5,21332465,211293.3,656329.5,1,2.022192e-08,0.33333,0,1,6
47.5,472914.5,81075.63,1463982,2,3.303601e-07,0.33333,4,0,8
47.5,30537452,9624150,22644368,3,1.06147e-08,0.33333,1,4,0
47.55,21327897,212331.2,659859.7,1,2.022192e-08,0.33333,0,1,3
47.55,472284.4,80360.12,1465327,2,3.303601e-07,0.33333,3,0,5
47.55,30381906,9619334,22804729,3,1.06147e-08,0.33333,11,6,0
47.6,21323308,213373.7,663407.2,1,2.022192e-08,0.33333,0,1,7
47.6,471660.7,79650.39,1466661,2,3.303601e-07,0.33333,7,0,7
47.6,30227236,9613729,22965005,3,1.06147e-08,0.33333,10,1,0
47.65,21318697,214420.4,666972.1,1,2.022192e-08,0.33333,0,5,4
47.65,471043.3,78945.57,1467982,2,3.303601e-07,0.33333,3,0,5
47.65,30073449,9607341,23125180,3,1.06147e-08,0.33333,4,1,0
47.7,21314064,215470.6,670554.4,1,2.022192e-08,0.33333,0,3,2
47.7,470432.2,78246.69,1469292,2,3.303601e-07,0.33333,4,0,16
47.7,29920552,9600176,23285242,3,1.06147e-08,0.33333,1,2,0
47.75,21309410,216525,674154.4,1,2.022192e-08,0.33333,0,10,8
47.75,469827.2,77552.56,1470590,2,3.303601e-07,0.33333,3,0,11
