time, S, I, R
29.05,723.495,71.6958,9214.81
29.1,723.25,70.7534,9216
29.15,723.009,69.8234,9217.17
29.2,722.771,68.9055,9218.32
29.25,722.536,67.9997,9219.46
29.3,722.304,67.1056,9220.59
29.35,722.075,66.2233,9221.7
29.4,721.849,65.3524,9222.8
29.45,721.627,64.493,9223.88
29.5,721.407,63.6448,9224.95
29.55,721.191,62.8076,9226
29.6,720.977,61.9815,9227.04
29.65,720.766,61.1661,9228.07
29.7,720.558,60.3614,9229.08
29.75,720.353,59.5672,9230.08
29.8,720.151,58.7834,9231.07
29.85,719.951,58.0099,9232.04
29.9,719.754,57.2465,9233
29.95,719.559,56.4931,9233.95
30,719.368,55.7495,9234.88
30.05,719.178,55.0157,9235.81
30.1,718.992,54.2915,9236.72
30.15,718.807,53.5768,9237.62
30.2,718.626,52.8715,9238.5
30.25,718.447,52.1754,9239.38
30.3,718.27,51.4884,9240.24
30.35,718.095,50.8104,9241.09
30.4,717.923,50.1413,9241.94
30.45,717.753,49.481,9242.77
30.5,717.586,48.8293,9243.59
30.55,717.42,48.1862,9244.39
30.6,717.257,47.5515,9245.19
30.65,717.096,46.9251,9245.98
30.7,716.938,46.307,9246.76
30.75,716.781,45.6969,9247.52
30.8,716.626,45.0949,9248.28
30.85,716.474,44.5008,9249.03
30.9,716.323,43.9144,9249.76
30.95,716.175,43.3358,9250.49
31,716.029,42.7647,9251.21
31.05,715.884,42.2012,9251.91
31.1,715.742,41.645,9252.61
31.15,715.601,41.0961,9253.3
31.2,715.462,40.5545,9253.98
31.25,715.325,40.02,9254.65
31.3,715.19,39.4924,9255.32
31.35,715.057,38.9718,9255.97
31.4,714.925,38.4581,9256.62
31.45,714.796,37.9511,9257.25
31.5,714.668,37.4507,9257.88
31.55,714.541,36.957,9258.5
31.6,714.417,36.4697,9259.11
31.65,714.294,35.9888,9259.72
31.7,714.173,35.5143,9260.31
31.75,714.053,35.046,9260.9
31.8,713.935,34.5838,9261.48
31.85,713.818,34.1277,9262.05
31.9,713.703,33.6776,9262.62
31.95,713.59,33.2334,9263.18
32,713.478,32.7951,9263.73
32.05,713.368,32.3625,9264.27
32.1,713.259,31.9357,9264.81
32.15,713.151,31.5144,9265.33
32.2,713.045,31.0987,9265.86
32.25,712.941,30.6884,9266.37
32.3,712.837,30.2836,9266.88
32.35,712.736,29.884,9267.38
32.4,712.635,29.4898,9267.88
32.45,712.536,29.1007,9268.36
32.5,712.438,28.7167,9268.85
32.55,712.342,28.3378,9269.32
32.6,712.246,27.9639,9269.79
32.65,712.152,27.5949,9270.25
32.7,712.06,27.2307,9270.71
32.75,711.968,26.8714,9271.16
32.8,711.878,26.5168,9271.61
32.85,711.789,26.1668,9272.04
32.9,711.701,25.8215,9272.48
32.95,711.614,25.4807,9272.91
33,711.529,25.1444,9273.33
33.05,711.444,24.8125,9273.74
33.1,711.361,24.485,9274.15
33.15,711.279,24.1618,9274.56
33.2,711.198,23.8428,9274.96
33.25,711.118,23.5281,9275.35
33.3,711.039,23.2175,9275.74
33.35,710.961,22.911,9276.13
33.4,710.884,22.6085,9276.51
33.45,710.808,22.31,9276.88
33.5,710.733,22.0155,9277.25
33.55,710.66,21.7248,9277.62
33.6,710.587,21.438,9277.98
33.65,710.515,21.1549,9278.33
33.7,710.444,20.8756,9278.68
33.75,710.374,20.6,9279.03
33.8,710.305,20.328,9279.37
33.85,710.237,20.0595,9279.7
33.9,710.17,19.7946,9280.04
33.95,710.103,19.5333,9280.36
34,710.038,19.2753,9280.69
34.05,709.973,19.0208,9281.01
34.1,709.909,18.7696,9281.32
34.15,709.847,18.5217,9281.63
34.2,709.785,18.2771,9281.94
34.25,709.723,18.0357,9282.24
34.3,709.663,17.7975,9282.54
