time, S, I, R, M0, M1
9.5,7102.25,1698.4,1200.59,12,10
9.55,7044.7,1727.4,1229.14,16,16
9.6,6986.66,1756.37,1258.17,9,8
9.65,6928.13,1785.38,1287.69,16,16
9.7,6869.15,1814.36,1317.69,9,9
9.75,6809.74,1843.29,1348.17,8,8
9.8,6749.92,1872.11,1379.13,16,15
9.85,6689.7,1900.88,1410.57,12,12
9.9,6629.12,1929.44,1442.49,20,18
9.95,6568.2,1957.87,1474.88,14,12
10,6506.96,1986.19,1507.75,7,6
10.05,6445.43,2014.39,1541.09,12,12
10.1,6383.62,2042.33,1574.89,13,12
10.15,6321.58,2070.11,1609.16,7,7
10.2,6259.31,2097.64,1643.89,16,16
10.25,6196.86,2124.86,1679.08,11,10
10.3,6134.23,2151.85,1714.72,9,9
10.35,6071.47,2178.48,1750.81,15,14
10.4,6008.59,2204.83,1787.34,10,10
10.45,5945.62,2230.83,1824.3,13,13
10.5,5882.59,2256.47,1861.69,17,17
10.55,5819.53,2281.71,1899.51,9,9
10.6,5756.45,2306.55,1937.75,11,11
10.65,5693.4,2330.91,1976.39,20,19
10.7,5630.39,2354.87,2015.44,11,11
10.75,5567.45,2378.37,2054.89,12,12
10.8,5504.61,2401.28,2094.72,9,7
10.85,5441.88,2423.74,2134.92,8,7
10.9,5379.31,2445.58,2175.5,14,11
10.95,5316.91,2467.05,2216.44,13,13
11,5254.71,2487.96,2257.73,13,13
11.05,5192.72,2508.31,2299.37,11,11
11.1,5130.98,2527.98,2341.34,16,14
11.15,5069.5,2547.16,2383.63,10,10
11.2,5008.32,2565.74,2426.24,13,13
11.25,4947.44,2583.71,2469.15,11,11
11.3,4886.89,2601.05,2512.36,10,10
11.35,4826.69,2617.71,2555.85,13,12
11.4,4766.86,2633.73,2599.61,11,10
11.45,4707.43,2649.04,2643.64,13,11
11.5,4648.4,2663.69,2687.91,13,11
11.55,4589.8,2677.73,2732.42,13,12
11.6,4531.65,2691.14,2777.16,14,14
11.65,4473.95,2703.88,2822.12,13,13
11.7,4416.73,2715.93,2867.29,9,9
11.75,4360,2727.2,2912.65,15,13
11.8,4303.78,2737.84,2958.19,8,7
11.85,4248.07,2747.83,3003.9,11,11
11.9,4192.89,2757.13,3049.78,7,7
11.95,4138.25,2765.7,3095.8,12,11
12,4084.16,2773.57,3141.96,9,8
12.05,4030.64,2780.76,3188.25,10,9
12.1,3977.69,2787.26,3234.65,10,9
12.15,3925.31,2793.13,3281.16,11,11
12.2,3873.53,2798.32,3327.75,9,9
12.25,3822.34,2802.73,3374.43,15,13
12.3,3771.76,2806.57,3421.17,10,10
12.35,3721.78,2809.74,3467.97,9,9
12.4,3672.42,2812.26,3514.83,8,8
12.45,3623.67,2814.12,3561.71,7,7
12.5,3575.54,2815.33,3608.62,11,11
12.55,3528.04,2815.91,3655.55,10,10
12.6,3481.16,2815.85,3702.48,8,8
12.65,3434.92,2815.07,3749.41,25,23
12.7,3389.3,2813.73,3796.32,20,19
12.75,3344.32,2811.83,3843.2,5,5
12.8,3299.97,2809.29,3890.04,11,10
12.85,3256.25,2806.17,3936.83,18,17
12.9,3213.16,2802.52,3983.57,5,5
12.95,3170.7,2798.25,4030.25,7,6
13,3128.87,2793.48,4076.85,9,9
13.05,3087.67,2788.17,4123.36,14,14
13.1,3047.09,2782.28,4169.78,11,10
13.15,3007.13,2775.92,4216.1,14,14
13.2,2967.78,2769.01,4262.31,4,3
13.25,2929.06,2761.65,4308.4,15,15
13.3,2890.94,2753.81,4354.36,9,9
13.35,2853.42,2745.49,4400.19,13,13
13.4,2816.51,2736.72,4445.87,7,7
13.45,2780.2,2727.45,4491.41,11,10
13.5,2744.47,2717.79,4536.78,5,5
13.55,2709.34,2707.67,4582,6,5
13.6,2674.78,2697.19,4627.04,15,15
13.65,2640.8,2686.3,4671.9,10,10
13.7,2607.38,2674.99,4716.58,15,14
13.75,2574.53,2663.35,4761.06,6,6
13.8,2542.24,2651.36,4805.35,10,10
13.85,2510.5,2639.01,4849.44,8,8
13.9,2479.3,2626.33,4893.32,10,10
13.95,2448.64,2613.33,4936.98,8,8
14,2418.51,2600.02,4980.42,5,5
14.05,2388.9,2586.41,5023.64,10,10
14.1,2359.81,2572.51,5066.64,3,3
14.15,2331.22,2558.33,5109.39,8,8
14.2,2303.15,2543.84,5151.91,8,7
14.25,2275.56,2529.15,5194.19,10,10
14.3,2248.47,2514.17,5236.21,11,10
14.35,2221.86,2499,5277.99,10,10
14.4,2195.72,2483.57,5319.51,7,6
14.45,2170.05,2467.93,5360.77,9,8
14.5,2144.84,2452.09,5401.77,8,7
14.55,2120.08,2436.01,5442.51,13,11
14.6,2095.77,2419.85,5482.97,7,7
14.65,2071.9,2403.53,5523.17,15,15
14.7,2048.46,2387.05,5563.09,12,12
14.75,2025.45,2370.42,5602.73,6,6
14.8,2002.85,2353.6,5642.1,14,13
14.85,1980.66,2336.65,5681.19,10,9
14.9,1958.88,2319.58,5719.99,7,6
14.95,1937.49,2302.4,5758.5,12,11
15,1916.5,2285.12,5796.73,9,8
15.05,1895.89,2267.74,5834.67,11,10
15.1,1875.65,2250.28,5872.32,7,6
15.15,1855.79,2232.78,5909.68,10,10
15.2,1836.29,2215.22,5946.75,8,8
15.25,1817.14,2197.59,5983.52,14,14
15.3,1798.35,2179.9,6020,10,10
15.35,1779.9,2162.07,6056.18,11,9
15.4,1761.79,2144.3,6092.07,9,9
15.45,1744.01,2126.49,6127.66,9,9
15.5,1726.55,2108.65,6162.95,8,8
15.55,1709.42,2090.74,6197.95,8,7
15.6,1692.6,2072.76,6232.64,14,12
15.65,1676.09,2054.88,6267.04,7,7
15.7,1659.88,2036.94,6301.14,13,12
15.75,1643.96,2019.05,6334.94,6,6
15.8,1628.34,2001.17,6368.44,11,11
15.85,1613.01,1983.25,6401.64,14,13
15.9,1597.95,1965.36,6434.54,5,4
15.95,1583.17,1947.48,6467.15,10,9
16,1568.66,1929.68,6499.46,10,10
16.05,1554.41,1911.92,6531.47,4,4
16.1,1540.42,1894.19,6563.19,5,5
16.15,1526.69,1876.5,6594.61,5,5
16.2,1513.21,1858.85,6625.74,8,8
16.25,1499.97,1841.26,6656.57,5,5
16.3,1486.97,1823.67,6687.11,8,7
16.35,1474.2,1806.18,6717.36,11,11
16.4,1461.67,1788.71,6747.32,8,7
16.45,1449.36,1771.25,6776.99,16,14
16.5,1437.28,1753.86,6806.36,9,7
16.55,1425.41,1736.64,6835.45,9,9
16.6,1413.76,1719.49,6864.25,8,8
16.65,1402.32,1702.42,6892.76,10,10
16.7,1391.08,1685.42,6921,5,5
16.75,1380.04,1668.51,6948.95,8,8
16.8,1369.21,1651.68,6976.61,4,4
16.85,1358.56,1634.89,7004,13,12
16.9,1348.1,1618.24,7031.11,10,10
16.95,1337.83,1601.67,7057.94,8,8
17,1327.75,1585.21,7084.5,9,9
17.05,1317.84,1568.78,7110.78,9,8
17.1,1308.1,1552.45,7136.79,9,8
17.15,1298.54,1536.28,7162.53,8,8
17.2,1289.15,1520.15,7188,14,13
17.25,1279.93,1504.17,7213.2,8,8
17.3,1270.86,1488.3,7238.14,8,8
17.35,1261.96,1472.53,7262.81,7,7
17.4,1253.21,1456.87,7287.22,6,6
17.45,1244.61,1441.26,7311.37,9,8
17.5,1236.16,1425.82,7335.27,4,4
17.55,1227.87,1410.43,7358.9,6,5
17.6,1219.71,1395.16,7382.28,11,10
17.65,1211.7,1379.94,7405.41,18,16
17.7,1203.83,1364.84,7428.28,8,6
17.75,1196.09,1349.96,7450.9,3,3
17.8,1188.49,1335.14,7473.28,6,5
17.85,1181.01,1320.48,7495.41,8,8
17.9,1173.67,1305.89,7517.29,9,8
17.95,1166.45,1291.46,7538.94,10,10
18,1159.36,1277.15,7560.34,10,10
18.05,1152.38,1262.96,7581.51,11,11
18.1,1145.53,1248.88,7602.44,10,10
18.15,1138.79,1234.82,7623.14,10,8
18.2,1132.17,1220.98,7643.6,12,12
18.25,1125.66,1207.25,7663.84,4,4
18.3,1119.26,1193.65,7683.85,10,10
18.35,1112.97,1180.11,7703.63,9,8
18.4,1106.78,1166.69,7723.18,6,5
18.45,1100.7,1153.43,7742.52,10,10
18.5,1094.72,1140.3,7761.63,6,6
18.55,1088.84,1127.23,7780.53,8,7
18.6,1083.06,1114.34,7799.21,5,5
18.65,1077.37,1101.56,7817.67,6,6
18.7,1071.78,1088.89,7835.92,4,4
18.75,1066.29,1076.35,7853.97,9,9
18.8,1060.88,1063.87,7871.8,6,5
18.85,1055.56,1051.56,7889.43,10,10
18.9,1050.33,1039.36,7906.85,6,6
18.95,1045.19,1027.18,7924.08,11,9
19,1040.13,1015.22,7941.1,6,6
19.05,1035.16,1003.37,7957.92,4,4
19.1,1030.27,991.642,7974.54,9,9
19.15,1025.45,980.025,7990.97,7,7
19.2,1020.72,968.522,8007.21,6,6
19.25,1016.06,957.132,8023.26,10,10
19.3,1011.48,945.856,8039.11,7,7
19.35,1006.97,934.693,8054.78,11,11
19.4,1002.54,923.641,8070.27,5,5
19.45,998.175,912.702,8085.57,11,11
19.5,993.883,901.873,8100.69,5,5
19.55,989.66,891.105,8115.64,15,14
19.6,985.504,880.497,8130.4,7,7
19.65,981.416,869.999,8144.99,5,5
19.7,977.393,859.609,8159.4,8,8
19.75,973.434,849.277,8173.64,13,12
19.8,969.538,839.103,8187.71,8,8
19.85,965.705,829.036,8201.61,7,7
19.9,961.932,819.025,8215.34,7,6
19.95,958.22,809.169,8228.91,6,6
20,954.566,799.418,8242.32,6,6
20.05,950.97,789.771,8255.56,13,13
20.1,947.431,780.227,8268.64,5,5
20.15,943.947,770.786,8281.57,8,8
20.2,940.519,761.397,8294.33,7,6
20.25,937.144,752.109,8306.95,8,7
20.3,933.822,742.923,8319.41,7,6
20.35,930.553,733.836,8331.71,6,5
20.4,927.335,724.898,8343.87,6,6
20.45,924.167,716.059,8355.87,7,7
20.5,921.048,707.316,8367.74,4,4
20.55,917.977,698.621,8379.45,5,4
20.6,914.955,690.071,8391.02,12,12
20.65,911.979,681.617,8402.45,5,5
20.7,909.049,673.157,8413.74,8,6
20.75,906.165,664.891,8424.89,11,11
20.8,903.325,656.717,8435.91,7,7
20.85,900.529,648.636,8446.79,10,10
20.9,897.776,640.645,8457.53,6,6
20.95,895.065,632.745,8468.14,8,8
21,892.395,624.934,8478.62,6,6
21.05,889.767,617.162,8488.97,9,8
21.1,887.178,609.528,8499.19,6,6
21.15,884.629,601.982,8509.29,7,7
21.2,882.119,594.521,8519.26,7,7
21.25,879.647,587.146,8529.11,11,11
21.3,877.212,579.856,8538.83,4,4
21.35,874.815,572.65,8548.44,5,5
21.4,872.453,565.527,8557.92,9,9
21.45,870.127,558.486,8567.29,9,9
21.5,867.836,551.478,8576.54,6,5
21.55,865.58,544.6,8585.67,8,8
21.6,863.358,537.802,8594.69,4,4
21.65,861.169,531.084,8603.6,11,11
21.7,859.013,524.444,8612.39,7,7
21.75,856.889,517.833,8621.08,8,7
21.8,854.797,511.249,8629.65,9,7
21.85,852.737,504.842,8638.12,3,3
21.9,850.707,498.51,8646.48,8,8
21.95,848.708,492.204,8654.74,12,11
22,846.739,485.972,8662.89,6,5
22.05,844.799,479.864,8670.94,5,5
22.1,842.887,473.828,8678.88,5,5
22.15,841.004,467.863,8686.73,5,5
22.2,839.149,461.97,8694.48,8,8
22.25,837.322,456.147,8702.13,6,6
22.3,835.521,450.394,8709.69,7,7
22.35,833.746,444.709,8717.14,7,7
22.4,831.998,439.043,8724.51,8,7
22.45,830.276,433.494,8731.78,5,5
22.5,828.579,428.012,8738.96,6,6
22.55,826.907,422.596,8746.05,4,4
22.6,825.259,417.245,8753.05,4,4
22.65,823.635,411.959,8759.96,8,8
22.7,822.036,406.736,8766.78,6,6
22.75,820.459,401.577,8773.51,6,6
22.8,818.905,396.48,8780.16,7,7
22.85,817.374,391.446,8786.73,2,2
22.9,815.866,386.472,8793.21,4,4
22.95,814.379,381.558,8799.61,5,5
23,812.914,376.705,8805.93,9,9
23.05,811.47,371.911,8812.17,3,3
23.1,810.046,367.175,8818.33,5,5
23.15,808.644,362.497,8824.41,7,7
23.2,807.262,357.827,8830.41,10,9
23.25,805.9,353.214,8836.34,9,8
23.3,804.557,348.707,8842.19,5,5
23.35,803.234,344.255,8847.96,3,3
23.4,801.93,339.858,8853.66,10,10
23.45,800.645,335.466,8859.29,6,5
23.5,799.378,331.177,8864.84,2,2
23.55,798.13,326.942,8870.33,8,8
23.6,796.899,322.758,8875.74,7,7
23.65,795.686,318.626,8881.09,8,8
23.7,794.491,314.546,8886.36,11,11
23.75,793.312,310.516,8891.57,4,4
23.8,792.151,306.486,8896.71,7,6
23.85,791.006,302.555,8901.79,2,2
23.9,789.877,298.624,8906.8,6,5
23.95,788.765,294.742,8911.74,13,12
24,787.668,290.958,8916.62,3,3
24.05,786.588,287.171,8921.44,10,9
24.1,785.522,283.481,8926.2,9,9
24.15,784.472,279.837,8930.89,4,4
24.2,783.437,276.238,8935.53,3,3
24.25,782.416,272.635,8940.1,8,7
24.3,781.41,269.127,8944.61,0,0
24.35,780.418,265.662,8949.07,5,5
24.4,779.441,262.141,8953.47,6,4
24.45,778.477,258.715,8957.81,6,5
24.5,777.527,255.331,8962.09,3,2
24.55,776.591,252.039,8966.32,5,5
24.6,775.668,248.789,8970.49,4,4
24.65,774.758,245.53,8974.61,5,4
24.7,773.86,242.361,8978.68,5,5
24.75,772.976,239.233,8982.69,6,6
24.8,772.104,236.143,8986.65,9,9
24.85,771.244,233.044,8990.56,6,5
24.9,770.396,230.032,8994.42,2,2
24.95,769.56,227.059,8998.23,5,5
25,768.736,224.124,9001.99,7,7
25.05,767.923,221.225,9005.7,2,2
25.1,767.122,218.314,9009.36,14,13
25.15,766.332,215.489,9012.98,8,8
25.2,765.553,212.699,9016.55,3,3
25.25,764.785,209.946,9020.07,6,6
25.3,764.028,207.227,9023.55,5,5
25.35,763.281,204.542,9026.98,2,2
25.4,762.545,201.842,9030.36,3,2
25.45,761.819,199.226,9033.71,3,3
25.5,761.103,196.643,9037,7,7
25.55,760.397,194.093,9040.26,7,7
25.6,759.701,191.575,9043.47,7,7
25.65,759.014,189.089,9046.65,4,4
25.7,758.337,186.635,9049.78,3,3
25.75,757.669,184.213,9052.87,4,4
25.8,757.011,181.771,9055.92,8,7
25.85,756.362,179.411,9058.93,4,4
25.9,755.722,177.03,9061.9,6,5
25.95,755.091,174.73,9064.83,2,2
26,754.469,172.459,9067.72,5,5
26.05,753.855,170.217,9070.58,7,7
26.1,753.25,168.004,9073.4,2,2
26.15,752.653,165.82,9076.18,5,5
26.2,752.064,163.663,9078.92,2,2
26.25,751.483,161.434,9081.63,10,8
26.3,750.911,159.333,9084.31,1,1
26.35,750.347,157.259,9086.94,4,4
26.4,749.79,155.212,9089.55,5,5
26.45,749.241,153.191,9092.12,4,4
26.5,748.7,151.146,9094.65,6,5
26.55,748.166,149.178,9097.16,11,11
26.6,747.64,147.234,9099.63,6,6
26.65,747.12,145.266,9102.06,4,3
26.7,746.608,143.373,9104.47,2,2
26.75,746.103,141.504,9106.84,5,5
26.8,745.605,139.659,9109.19,2,2
26.85,745.114,137.838,9111.5,4,4
26.9,744.63,135.99,9113.78,8,7
26.95,744.152,134.216,9116.03,5,5
27,743.681,132.465,9118.25,3,3
27.05,743.216,130.736,9120.45,2,2
27.1,742.758,129.03,9122.61,8,8
27.15,742.306,127.346,9124.75,4,4
27.2,741.86,125.683,9126.86,2,2
27.25,741.42,124.042,9128.94,1,1
27.3,740.986,122.422,9130.99,3,3
27.35,740.558,120.823,9133.02,3,3
27.4,740.136,119.245,9135.02,6,6
27.45,739.72,117.637,9136.99,6,5
27.5,739.309,116.05,9138.94,4,3
27.55,738.904,114.533,9140.86,3,3
27.6,738.505,113.036,9142.76,7,7
27.65,738.111,111.559,9144.63,3,3
27.7,737.723,110.1,9146.48,1,1
27.75,737.34,108.66,9148.3,2,2
27.8,736.962,107.189,9150.1,3,2
27.85,736.589,105.738,9151.87,7,6
27.9,736.222,104.354,9153.62,3,3
27.95,735.859,102.989,9155.35,7,7
28,735.502,101.641,9157.06,3,3
28.05,735.149,100.311,9158.74,6,6
28.1,734.801,98.998,9160.4,3,3
28.15,734.458,97.6524,9162.04,8,7
28.2,734.12,96.3739,9163.66,7,7
28.25,733.786,95.0624,9165.25,3,2
28.3,733.457,93.8175,9166.83,7,7
28.35,733.132,92.5888,9168.38,3,3
28.4,732.812,91.376,9169.91,5,5
28.45,732.496,90.179,9171.42,2,2
28.5,732.185,88.9975,9172.92,4,4
